Product Name,total_net_sales,cumulative_sales_pct,ABC_segment,XYZ_segment,ABC_XYZ_segment
Field & Stream Sportsman 16 Gun Fire Safe,912148.0,0.21140565820401966,A,X,AX
Diamondback Women's Serene Classic Comfort Bi,513630.0,0.33044805946273054,A,X,AX
Perfect Fitness Perfect Rip Deck,506425.2,0.44782062700341724,A,Y,AY
Pelican Sunstream 100 Kayak,441248.0,0.5500872809578273,A,X,AX
Nike Men's Dri-FIT Victory Golf Polo,389885.5,0.6404498106697857,A,Y,AY
Nike Men's CJ Elite 2 TD Football Cleat,368039.1,0.7257490693211394,A,X,AX
O'Brien Men's Neoprene Life Vest,329364.5,0.8020848382002443,B,X,BX
Nike Men's Free 5.0+ Running Shoe,295308.0,0.870527439743977,B,Y,BY
Under Armour Girls' Toddler Spine Surge Runni,186505.6,0.9137532530185066,B,Y,BY
Web Camera,47238.52,0.9247015754543215,B,Z,BZ
Lawn mower,22098.18,0.9298232007695236,B,Z,BZ
Porcelain crafts,17965.17,0.9339869314235372,B,Z,BZ
adidas Youth Germany Black/Red Away Match Soc,9981.3,0.9363002657686563,B,Z,BZ
adidas Men's F10 Messi TRX FG Soccer Cleat,9607.8,0.9385270351995957,B,Z,BZ
DVDs,9475.92,0.9407232392198738,B,Z,BZ
Summer dresses,8676.72,0.9427342151828229,B,Z,BZ
LIJA Women's Eyelet Sleeveless Golf Polo,7803.25,0.9445427497653472,B,Z,BZ
Titleist Pro V1x Golf Balls,6550.56,0.9460609523469513,B,Z,BZ
Under Armour Women's Micro G Skulpt Running S,6477.9,0.9475623147500698,B,Z,BZ
Industrial consumer electronics,6201.03,0.948999507868613,B,Z,BZ
Smart watch,5516.96,0.9502781562459434,C,Z,CZ
Clicgear Rovic Cooler Bag,5425.2,0.9515355376981732,C,Z,CZ
Nike Men's Comfort 2 Slide,5244.3,0.9527509925293183,C,Z,CZ
Titleist Pro V1x High Numbers Golf Balls,5119.68,0.9539375645770495,C,Z,CZ
Titleist Pro V1x High Numbers Personalized Go,5079.88,0.9551149123046084,C,Z,CZ
Titleist Pro V1 High Numbers Personalized Gol,4852.12,0.9562394728170307,C,Z,CZ
First aid kit,4767.11,0.957344330830512,C,Y,CY
Nike Men's Deutschland Weltmeister Winners Bl,4709.7,0.958435883109795,C,Z,CZ
Under Armour Men's Compression EV SL Slide,4651.2,0.9595138770290259,C,Z,CZ
Under Armour Women's Ignite Slide,4389.44,0.960531203660611,C,Z,CZ
TYR Boys' Team Digi Jammer,4223.6,0.9615100940796992,C,Z,CZ
Nike Women's Free 5.0 TR FIT PRT 4 Training S,3867.45,0.9624064407392557,C,Z,CZ
